INFO 2022-10-17 17:35:11,530 autoreload 8774 139775671048000 Watching for file changes with StatReloader
DEBUG 2022-10-17 17:35:11,531 autoreload 8774 139775671048000 Waiting for apps ready_event.
DEBUG 2022-10-17 17:35:11,721 autoreload 8774 139775671048000 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-10-17 17:35:11,751 autoreload 8774 139775671048000 Watching dir /home/hp/Projects/Django/api-master/fbclone/templates with glob **/*.
DEBUG 2022-10-17 17:35:11,751 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework_swagger/templates with glob **/*.
DEBUG 2022-10-17 17:35:11,751 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/drf_api_logger/templates with glob **/*.
DEBUG 2022-10-17 17:35:11,751 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2022-10-17 17:35:11,752 autoreload 8774 139775671048000 Watching dir /home/hp/Projects/Django/api-master/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,752 autoreload 8774 139775671048000 Watching dir /home/hp/Projects/Django/api-master/fbclone/apps/login/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,752 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/bootstrap_modal_forms/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,752 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,752 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_auth/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,753 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,753 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework_swagger/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,753 autoreload 8774 139775671048000 Watching dir /home/hp/.env/apienv/lib/python3.8/site-packages/drf_api_logger/locale with glob **/*.mo.
DEBUG 2022-10-17 17:35:11,804 utils 8774 139775611275008 (0.002) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2022-10-17 17:35:11,806 utils 8774 139775611275008 (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/drf_api_logger/__init__.py first seen with mtime 1665993072.1261775
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/sentry_sdk/integrations/argv.py first seen with mtime 1665982389.375561
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/six.py first seen with mtime 1665388692.4685876
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/contrib/auth/models.py first seen with mtime 1664860970.4737952
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /usr/lib/python3.8/glob.py first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/views/generic/base.py first seen with mtime 1664860970.9138129
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /usr/lib/python3.8/quopri.py first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /usr/lib/python3.8/lib-dynload/_bz2.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/Projects/Django/api-master/fbclone/apps/api_url/urls.py first seen with mtime 1665753004.4147725
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/sentry_sdk/_queue.py first seen with mtime 1665982389.371561
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1664860970.121781
DEBUG 2022-10-17 17:35:11,868 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/psycopg2/errorcodes.py first seen with mtime 1664861749.3766801
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/templatetags/static.py first seen with mtime 1664860970.9018123
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/sqlparse/sql.py first seen with mtime 1664860970.121781
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /usr/lib/python3.8/getpass.py first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/_compat.py first seen with mtime 1664860921.7317846
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/idna/core.py first seen with mtime 1665129274.920324
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/db/migrations/operations/models.py first seen with mtime 1664860970.8658109
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/contrib/postgres/fields/ranges.py first seen with mtime 1664860970.7098045
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1664860970.8338096
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /usr/lib/python3.8/asyncio/sslproto.py first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/core/checks/security/base.py first seen with mtime 1664860970.84181
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/charset_normalizer/constant.py first seen with mtime 1665129274.8003206
DEBUG 2022-10-17 17:35:11,869 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1664860970.8378098
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1664860970.84181
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/dispatch/dispatcher.py first seen with mtime 1664860970.8778114
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/django/middleware/csrf.py first seen with mtime 1664860970.893812
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/jinja2/runtime.py first seen with mtime 1665988121.9789677
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /usr/lib/python3.8/json/decoder.py first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework/generics.py first seen with mtime 1664862868.2830212
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /home/hp/.env/apienv/lib/python3.8/site-packages/rest_framework/viewsets.py first seen with mtime 1664862868.2910213
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /usr/lib/python3.8/lib-dynload/_ssl.cpython-38-x86_64-linux-gnu.so first seen with mtime 1655929098.0
DEBUG 2022-10-17 17:35:11,870 autoreload 8774 139775671048000 File /usr/lib/python3.8/textwrap.py first seen with mtime 1655929098.0
